,author,comment,likeCount,publishedAt
0,@AnteiEldamir,"These streams are some of my favorites!  I've never played WoW (I've only seen the movie and played Hearthstone, old times), so thanks to you I'm discovering how interesting this world is! Listening to you talk is the best part of your streams! ",0,2025-07-19T20:24:25Z
1,@Olie_0415,OTSU Zeepaw Thanks for being that kind of unexpectedly lovable presence again ,0,2025-07-18T05:11:18Z
2,@MAYU_0616,"Thank you for your hard work!
Thank you for taking the time to chat with me. I love you so much, so please forgive me if I send you crazy love messages from time to time. But you always accept me kindly, and with each passing day, I find myself falling more and more in love with you. I am always grateful to you. I love you, sweetheart.",0,2025-07-18T00:12:36Z
3,@andita2708,"Done watching!! Omg I was missing this stream. Why i don't get any notif lol😂

Anyway otsu Zeal, see you on another..video",0,2025-07-17T18:21:45Z
4,@NinaMarieNPianoKeys,Otsu,0,2025-07-17T14:57:50Z
5,@nekoninja95,"Otsu  i always saw ads, but stood away because i was kind of u sure if id like it, this seems like.something i would play, but for now i enjoy watching you play, since its something you love ",0,2025-07-17T09:40:00Z
6,@李怡霏-r7r,Otsu!💚🐍,0,2025-07-17T07:54:58Z
7,@lateesleeper,"Otsu zeal! Today stream was so much fun, like it's genuinely makes me want to play it too  and I better takes more detailed notes after this because I aint failing the pop quiz ",0,2025-07-17T07:47:53Z
8,@hine-is-delulu,being with you in public just like riding a roller coaster man  we lmao-ed and then we took a wow course and then we yapped i love it alot  thank you for a fun stream and please never stop being old thanksss,2,2025-07-17T07:45:37Z
9,@izuzuchan,"OtsuZeal! 
Partial VOD gang (I'm always amused when I fall asleep to a stream and wake up to...a stream ) It's been a lot of fun watching you play WoW! I played when I was younger so it feels super nostalgic, though I dunno if I have the strength to pick it back up again 
Hope you rest well and see you next stream! ",0,2025-07-17T07:45:07Z
10,@_yxki_,"otsu zeal 
thank you for another fun wow stream ! I learnt so much and it was nice seeing you play something that you love  Zeepaw was super cute as well ! rest well and see you later~",0,2025-07-17T07:42:08Z
11,@metalchick5296,"Thank you for such a fun stream, Im so happy Zerpents are getting invested in a game that I grew up on almost all my life as a gamer! I loved helping talk about the lore and hearing your stances on each story! Hearing you talk about something you love so much makes me so happy, and I bet others feel the same way too! I may be Alliance aligned, but I'll always happily be your Zerpent. I can't wait to hear about other things you also enjoy too, and patiently await a fun WoW fishing stream with everyone one day. Love you, rest well! Muah",0,2025-07-17T07:42:02Z
12,@furukawahime,"OtsuZeal 
Thank you for the cozy WOW stream. It's just soo much fun to listen to you yapping about your favorite things, I can literally be here for hours and hours (pretty much watching the stream today even I'm at work um)
Looking forward for kansai ben stream today! I won't survive your kansai ben, but  YAYYY 
19:50 not the duh, I'm shocked lmaoo",0,2025-07-17T07:42:00Z
13,@pumpkinpopstar,Oh it’s been far too long since I’ve seen this game. Thank you so much for the stream Mr. Ginjoka,2,2025-07-17T07:41:58Z
14,@weilinouo95,Otsuzeepaw for the fun stream!! You nerdging out about WoW really got me interested!! Waoo  Gonna check out the VODs to do my homework before starting with the trial first  *ahem* but definitely with you for the horde heheh,1,2025-07-17T07:41:42Z
15,@primaryred3,"[Full TimeStamps ]
I don't know much about WoW, I'm learning 
07:49 stream start
13:34 HE COULD GET A SNAKE MOUNT EH
15:55 WoW, the best game to play in the retirement home 
18:23 KPOP DEMON HUNTERS (he watched it during his 'meeting' that was actually a meeting)
28:33 him admitting WoW is old and ancient 
33:02 Canadian and Aussie ginjokaaa
36:29 game start + omg the set up 
39:25 PANDA CLASSING (playing as a panda)
43:45 introducing zeepaw the panda rouge
49:22 he standsss (we can see his waist OwO)
56:34 crunchy graphics we love to see + talking about the old games with like chat rooms (I heard Poptropica )
1:05:36 look at the lil guy
1:21:08 too much aura, sheesh
1:23:13 I HEARD DANGANRONPA (cough excuse me ) + talking about the 2013s
1:29:54 u can't get rid of us, even in game muhahaa
1:33:34 SPLASH FREEE!! (I love freeee and tiny singing lmao) + the 2009-2013 animes
1:37:04 him talking as the lil snake xD
1:46:55 frog blinkjoka
1:53:59  what kind of straw for our coffee OwO
1:58:36 WE CAN BE BEEG 
2:00:22 zeal doko 
2:01:33 OMG BEAR EARS  (its zeal ginkuma )
2:08:03 it's evil hzbeats of all kinds (we got the debonheirs and doremins, technically a Zerpent, Seinyans we shall find)
2:14:34 zerpents keeping ginjokuma (gladly will keep him) + zerpents proceed to eats the kuma XD
2:17:32 no pawblem (hahaa....)
2:20:07 should men sit while they pee?
2:27:01 give ginjokuma a huggu and strawberries too 
2:30:04 even with low graphics, gotta appericate the view from the island
2:31:43 beautiful song the panda is singing
2:44:03 zeepawr gimme hug XD
2:49:22 kaelix not knowing it was twice in the kpdh movie 
2:58:40 remembering the cute panda vids ueueeue
More in replies ",9,2025-07-17T07:41:34Z
16,@NinaMarieNPianoKeys,2:01:27 Cute Panda Bear ears,0,2025-07-17T07:40:27Z
17,@peachkohebi,otsu zeal   i dont think i have enough brain cells to comment on the game so i will just say thank you for being my work bgm! i love watching you have fun ,1,2025-07-17T07:39:57Z
18,@pupwoofwoof,OTSUUUUU!!!!! WOW!!! so much fun!!!! so so soooo much fun!!!! genuinely genuinely genuinely if u did a whole week of WoW streams id be SEATED coz i think ive been having the most amounts of fun during these streams  love love loveeeee hearing u explain and talk about stuff even if i dont fully understand coz the way u explain it makes a lot of sense actually!!!!! like i felt totally lost at one point but u went back and explained what everything meant and i got it!!!! and i felt so happy!!!! please please please more WoW streams in the future please!!!!! love u!!!!!,1,2025-07-17T07:39:44Z
19,@zu___nu,Otsuzeal! Ahhh you have really sucessfully tempted me to download this game! The lore you explained and how it's divided is actually really interesting! I can't wait to experience it myself and maybe I'll write my first impression about it~ Thank you for the stream! Make sure to rest well! Chu ,1,2025-07-17T07:39:42Z
20,@Hanju_io,"Thank you for streaming today too, zeal! 
I had a lot of fun watching you playing WoW that i might turn into a wowhead... (and heh thank you for using the bear/panda (whatever it is) asset lmaoo you're so indulgent )
Have a nice rest ",1,2025-07-17T07:39:32Z
21,@Alin-i6d,"Otsuu
It was fun learning about WOW today",0,2025-07-17T07:39:22Z
22,@AjiHoneko,"OtsuZeal

Great job on the stream!
I only caught a little bit, but every time I dropped by, you looked like you were having such a great time playing WoW—it made me smile too.
I’m really looking forward to the Kansai-ben collab!
I hope you can get some proper rest, even if just for a little while.
Thank you always for your fun and wonderful streams!",0,2025-07-17T07:39:09Z
23,@primaryred3,"Otsu zeal, I learn so much about WoW thank you for enlightening me as well as other zerpents more about the lore of it (that pop quiz was evil though )/jk anyway take care and love ya",2,2025-07-17T07:39:04Z
24,@NikeiAkira,"otsu otsu zeal!! 
and no, you cannot stop me from getting WoW, you've convinced me :3",1,2025-07-17T07:38:49Z
25,@Kuroshuro_w,otsuzeal !!!can never not love a WoW streamlove the shenanigans zeal and zerpents always get up to love you zeal ginjokazeal ginjokuma and Zeal nerdjoka (especially nerdjoka....tskr handsome guy),1,2025-07-17T07:38:40Z
26,@takoyak194,Otsuuuu thank you for the stream ,0,2025-07-17T07:38:38Z
27,@kurrrraudo,this was so comfy i feel asleep once or twice.. big day for eepy zerpents 🐍💤 i loved hearing more about the game and im surprised i didnt know there was So Much lore.. wow... also i think its really funny how ur always so surprised that we like hearing u nerding out  it almost like we like u or something.. almost like ur our oshi idk... the nerdjoka gravitational pull is real and strong.. wow....,0,2025-07-17T07:38:25Z
28,@lake07z,otsu zeal!!💚 thank you for the WoW stream and the awoooos🥺 ilysm and rest well,0,2025-07-17T07:38:23Z
29,@grvgnk,"OtsuZeal, let's go WoW 
It's always so much fun to hear you yap and nerd out about this game, and all the effort you put into the explanations to make it more ""non WoW player"" friendly. The lore is complex but all that you explained made a lot of sense 
Thank you for today's streams, love you kamibroshi 
-i really want to play WoW rn-",2,2025-07-17T07:38:21Z
30,@礫_Reki,"Otsu Zeal The panda character was so cute, and you with bear ears, adorable! I also really loved the game movie’s Chinese style music, it fit so well. I enjoy seeing different races and characters, so it’s always fun when you try out various ones. Get some good rest",0,2025-07-17T07:38:17Z
31,@sanya-677,Thanks for your WoW stream! Learned a lot! Your voice is so comforting. Have a good rest!,0,2025-07-17T07:38:14Z
32,@眠ちゃん079,otsuuu zeepaw!!! I really have fun today~ I really enjoy watching you play wow and you seem very happy!!!Maybe I should learn how to play it haha! Be sure to rest well and love u always~(btw I love kumajoka toour so cute💚),0,2025-07-17T07:38:12Z
33,@KatVanKit.,"You being a panda today solidified how much of a cuddly, cozy man you are 🥺 My fellow panda man, you truly are a comfort for the soul 🐼💚 You make WoW feel less overwhelming with how thoroughly and patiently you explain things. Also don’t be afraid to be nerdy and indulgent, because it is honestly so engaging. I want to learn more about WoW and why you’re so passionate about it! I ended up being intrigued more about the Horde this stream and found them endearing like I do you ",1,2025-07-17T07:38:05Z
